Topic,Words,Frequency,Timestamp,Name
95,"sole, carolina, black, profile, bid",1,2023-05-14 16:37:44.952999936+00:00,Carolina Governors
98,"botstein, leon, bard, donated, gift",1,2023-05-14 16:37:44.952999936+00:00,College Admissions and Financial Aid
99,"tent, gym, terminal, cruise, understanding",1,2023-05-14 16:37:44.952999936+00:00,Homelessness in Cities
100,"manifesto, neo, disco, lush, journey",1,2023-05-14 16:37:44.952999936+00:00,Pop Superstar Conversation
101,"glen, huntington, ridge, bedroom, property",1,2023-05-14 16:37:44.952999936+00:00,Bedroom Property
102,"stuyvesant, bedford, turtle, hamilton, height",1,2023-05-14 16:37:44.952999936+00:00,Property in Manhattan
103,"willis, fani, dismissively, fulton, remotely",2,2023-05-14 16:37:44.952999936+00:00,Fulton County District Attorney
104,"mccarthy, kevin, speaker, ceiling, shalanda",4,2023-05-14 16:37:44.952999936+00:00,Ousting Speaker Kevin McCarthy
105,"insomnia, adolescent, quarter, struggle, nearly",1,2023-05-14 16:37:44.952999936+00:00,Experts Say Sleep Essential for Better Health
106,"miniature, submitted, featuring, modern, love",1,2023-05-14 16:37:44.952999936+00:00,Modern Love Miniature Featuring Reader Submitted Stories
108,"attorney, general, beshear, spokeswoman, cameron",2,2023-05-14 16:37:44.952999936+00:00,Attorney General Ken Paxton
109,"reading, suggested, editor, critic, suggestedreading",1,2023-05-14 16:37:44.952999936+00:00,Suggested Reading in New York Times
110,"homebuilder, underbelly, darker, archaeologist, southeast",2,2023-05-14 16:37:44.952999936+00:00,New York Real Estate Settlement
111,"wreath, nuclear, weapon, laying, catastrophic",2,2023-05-14 16:37:44.952999936+00:00,North Korea Leadership
112,"print, correction, appeared, nocorrection, printon",5,2023-05-14 16:37:44.952999936+00:00,Correction Appeared in Print on Monday
113,"penny, barnstorm, reintroduce, operative, pac",1,2023-05-14 16:37:44.952999936+00:00,Robert Kennedy Jr. Presidential Bid
114,"discounting, weaponization, missive, laptop, contend",2,2023-05-14 16:37:44.952999936+00:00,President Biden Son Impeachment Inquiry
115,"therapy, complicated, doe, talk, work",1,2023-05-14 16:37:44.952999936+00:00,Mental Health Crisis in Adolescents
116,"maiden, liner, voyage, sank, ocean",1,2023-05-14 16:37:44.952999936+00:00,Missing Submersible Titanic Wreckage
117,"anchored, charleston, clause, unanimous, constitution",1,2023-05-14 16:37:44.952999936+00:00,Alabama Voting Map Dispute
118,"earthquake, magnitude, vanuatu, downgraded, tunisia",3,2023-05-14 16:37:44.952999936+00:00,Earthquake in Morocco
120,"transgender, puberty, blocker, minor, overriding",2,2023-05-14 16:37:44.952999936+00:00,Transgender minor transition care ban
124,"mother, mom, hate, kid, someone",2,2023-05-14 16:37:44.952999936+00:00,Father-Mother Relationship
125,"woodpecker, compiled, birder, ivory, grail",1,2023-05-14 16:37:44.952999936+00:00,Birding in New York
126,"vaccine, administered, unanswered, pregnant, shield",2,2023-05-14 16:37:44.952999936+00:00,Vaccine Shot for Covid and Flu
128,"duplicated, alienated, volume, publishing, resigned",1,2023-05-14 16:37:44.952999936+00:00,Editor Newsroom Leadership
130,"megastructures, engraving, kite, saudi, arabia",1,2023-05-14 16:37:44.952999936+00:00,Golf in Saudi Arabia
131,"postcard, berest, auschwitz, anne, author",1,2023-05-14 16:37:44.952999936+00:00,World War II Holocaust Survivor
132,"volodymyr, zelensky, presidentvolodymyr, resolute, 16",2,2023-05-14 16:37:44.952999936+00:00,President Volodymyr Zelensky
133,"inspired, tell, image, real, story",1,2023-05-14 16:37:44.952999936+00:00,Real Inspired Image Stories
134,"marijuana, legalization, prohibition, smoking, certainly",3,2023-05-14 16:37:44.952999936+00:00,Cannabis Legalization Efforts
135,"grain, pact, resumed, export, fragile",1,2023-05-14 16:37:44.952999936+00:00,Black Sea Grain Export
137,"clause, amendment, equal, violated, publisher",1,2023-05-14 16:37:44.952999936+00:00,First Amendment Censorship Debate
140,"endorsing, bodega, sushi, supermajority, abandoning",2,2023-05-14 16:37:44.952999936+00:00,Suozzi vs Pilip in NY Special House Election
144,"debt, ceiling, limit, averting, negotiation",5,2023-05-14 16:37:44.952999936+00:00,Debt Ceiling Negotiation
145,"40, protective, gene, develop, symptom",1,2023-05-14 16:37:44.952999936+00:00,Gene Therapy for Disease Treatment
146,"participant, connect, section, comment, hint",1,2023-05-14 16:37:44.952999936+00:00,Reveal Hints Today
150,"ant, fiercest, mimic, jumping, spider",1,2023-05-14 16:37:44.952999936+00:00,Insect Colony Dynamics
151,"memorial, break, meet, senate, ahead",1,2023-05-14 16:37:44.952999936+00:00,Government Shutdown Showdown
152,"sainthood, ahem, ballpark, usage, dorothy",3,2023-05-14 16:37:44.952999936+00:00,New York City News
153,"fox, carlson, chapter, harder, room",1,2023-05-14 16:37:44.952999936+00:00,Fox News Committee
155,"quotation, monday, day, may, quotationof",2,2023-05-14 16:37:44.952999936+00:00,Quotation Day Monday
156,"sunday, correction, print, appeared, may",1,2023-05-14 16:37:44.952999936+00:00,Corrections in Print on Sunday
158,"tarrio, enrique, neely, homicide, prosecutor",2,2023-05-14 16:37:44.952999936+00:00,Federal Prosecutor Says
161,"muslim, fire, eleven, minn, unaccounted",2,2023-05-14 16:37:44.952999936+00:00,Fire in Johannesburg kills at least 3 people
162,"prigozhin, yevgeny, caterer, yevgenyprigozhin, capturing",2,2023-05-14 16:37:44.952999936+00:00,Yevgeny Prigozhin
163,"obrador, suitor, excess, manuel, example",1,2023-05-14 16:37:44.952999936+00:00,Venezuela Presidential Election
165,"communicating, image, think, iscommunicating, youthink",1,2023-05-14 16:37:44.952999936+00:00,Communicating Thoughts
167,"mentally, july, thisyear, year, le",1,2023-05-14 16:37:44.952999936+00:00,Maximizing Leisure Year's Value
170,"assessing, default, dire, explains, odds",1,2023-05-14 16:37:44.952999936+00:00,Stock Market Outlook
172,"ezra, klein, episode, ezraklein, show",2,2023-05-14 16:37:44.952999936+00:00,Ezra Klein Show
175,"altman, sam, openai, regulated, artificial",2,2023-05-14 16:37:44.952999936+00:00,Sam Altman AI Regulation
179,"feinstein, dianne, diannefeinstein, shingle, senator",4,2023-05-14 16:37:44.952999936+00:00,Feinstein's Senate Seat
185,"caption, moderated, stripped, closely, join",1,2023-05-14 16:37:44.952999936+00:00,Student See Moderated Conversation
188,"paraguay, indigenous, colorado, round, seven",1,2023-05-14 16:37:44.952999936+00:00,Argentina Far-Right Politics
189,"megachurch, hillsong, recommends, shelf, due",1,2023-05-14 16:37:44.952999936+00:00,TV Critic Recommends
191,"asks, regulation, end, latest, tuesday",1,2023-05-14 16:37:44.952999936+00:00,Latest End Dates
192,"doorstep, snowstorm, upstate, seoul, landed",1,2023-05-14 16:37:44.952999936+00:00,South Korean Culture & Society
193,"narrated, timenarrated, article, around, section",2,2023-05-14 16:37:44.952999936+00:00,Time Narrated Articles
196,"horse, preakness, colt, thoroughbred, baffert",4,2023-05-14 16:37:44.952999936+00:00,Horse Racing News
199,"drab, spruce, closet, wonder, northwest",1,2023-05-14 16:37:44.952999936+00:00,Reader Wonder
202,"pulitzer, prize, paperback, amassed, discover",1,2023-05-14 16:37:44.952999936+00:00,Pulitzer Prize Winners
203,"incitement, unification, insult, marred, jerusalem",1,2023-05-14 16:37:44.952999936+00:00,Palestinian Protest in Jerusalem
207,"correction, print, appeared, may, saturday",3,2023-05-14 16:37:44.952999936+00:00,Print Corrections
213,"92nd, candela, rosario, quintessential, architect",1,2023-05-14 16:37:44.952999936+00:00,Architectural Design in New York
214,"sudan, darfur, passport, sudanese, flounder",3,2023-05-14 16:37:44.952999936+00:00,Sudanese Paramilitary Causes Humanitarian Crisis in Darfur
216,"cleanliness, persistence, coping, subtle, memoir",1,2023-05-14 16:37:44.952999936+00:00,New Memoir by Shane McCrae
218,"fellowship, instrument, repertoire, marking, carnegie",1,2023-05-14 16:37:44.952999936+00:00,Jazz Musicians
221,"kabul, afghan, withdrawal, beginning, dangerous",1,2023-05-14 16:37:44.952999936+00:00,Taliban Threat in Afghanistan
222,"undergraduate, loan, adding, struggling, already",1,2023-05-14 16:37:44.952999936+00:00,Student Loan Repayment
223,"superteams, morant, puzzled, brittney, grizzly",2,2023-05-14 16:37:44.952999936+00:00,Coach Tara Vanderveer's Success
224,"selection, published, recently, book, chetna",1,2023-05-14 16:37:44.952999936+00:00,Recent Book Releases
225,"santos, expel, ethic, indicted, pushed",1,2023-05-14 16:37:44.952999936+00:00,George Santos Expulsion
230,"rosenthal, hop, hip, blog, faded",1,2023-05-14 16:37:44.952999936+00:00,Hip Hop Anniversary Evolution
231,"erdogan, recep, tayyip, turkey, runoff",5,2023-05-14 16:37:44.952999936+00:00,Turkish Elections Runoff
232,"hyphenate, multi, non, caribbean, childhood",1,2023-05-14 16:37:44.952999936+00:00,Island Getaway
233,"turnabout, dam, reservoir, dramatic, throughout",1,2023-05-14 16:37:44.952999936+00:00,Destruction of Kakhovka Dam
234,"coupon, registry, wedding, supplier, pledge",1,2023-05-14 16:37:44.952999936+00:00,Unconventional Wedding Celebration
241,"quotation, thursday, day, may, quotationof",1,2023-05-14 16:37:44.952999936+00:00,Quotation Day Thursday July
248,"invite, forum, teacher, reflect, consider",1,2023-05-14 16:37:44.952999936+00:00,Invite Student Contest
251,"constitutionality, evaluate, announcing, gun, struck",1,2023-05-14 16:37:44.952999936+00:00,Gun Regulation Supreme Court Ruling
272,"net, revenue, retailer, beat, expectation",1,2023-05-14 16:37:44.952999936+00:00,Profit Growth Report
273,"legislature, chamber, approval, closer, brings",1,2023-05-14 16:37:44.952999936+00:00,State Legislature Activity
281,"epstein, thiel, financier, disgraced, reviewed",1,2023-05-14 16:37:44.952999936+00:00,Jeffrey Epstein Sex Trafficking
284,"quotation, wednesday, may, tuesday, day",2,2023-05-14 16:37:44.952999936+00:00,Quotation Day Wednesday June
285,"quotation, saturday, may, friday, day",2,2023-05-14 16:37:44.952999936+00:00,Quotation Day Friday June
286,"tony, picket, screenwriter, altered, marketing",1,2023-05-14 16:37:44.952999936+00:00,Tony Awards
288,"admission, defeat, source, strength, seem",1,2023-05-14 16:37:44.952999936+00:00,Alumnus Donation University Admission
291,"gurley, flynn, marker, concord, birthplace",1,2023-05-14 16:37:44.952999936+00:00,Civil Rights Legacy
297,"undrafted, denver, unraveling, miami, disappointment",2,2023-05-14 16:37:44.952999936+00:00,Denver Nuggets vs Miami Heat Championship
306,"temperature, global, hot, rising, rise",2,2023-05-14 16:37:44.952999936+00:00,Global Warming
322,"drug, generic, amgen, scarcity, worrisome",2,2023-05-14 16:37:44.952999936+00:00,Scarce cancer drugs spark industry concern
324,"magritte, klimt, stingier, gonzo, yesteryear",1,2023-05-14 16:37:44.952999936+00:00,Sotheby's Auction Controversy
332,"crisscrossed, grueling, spice, human, mexican",1,2023-05-14 16:37:44.952999936+00:00,Human rights abuses in armed forces
333,"entry, june, draft, determine, chicago",2,2023-05-14 16:37:44.952999936+00:00,Entry Week May
335,"collins, appointment, cap, covered, previously",1,2023-05-14 16:37:44.952999936+00:00,Tax Policy Debate
347,"francisco, reparation, san, ambitious, cash",1,2023-05-14 16:37:44.952999936+00:00,San Francisco Weed Empire
364,"pochoda, inmate, migrate, incarcerated, grisly",2,2023-05-14 16:37:44.952999936+00:00,Prison Inmate Escape in Arizona
366,"counseling, delivers, exactly, research, benefit",1,2023-05-14 16:37:44.952999936+00:00,Counselor Recommendations for Depression and Anxiety
372,"sunday, quotation, may, day, quotationof",1,2023-05-14 16:37:44.952999936+00:00,Quotation Day Sunday July
376,"archive, audio, serendipity, provides, depth",2,2023-05-14 16:37:44.952999936+00:00,Best Audio App Discovered
377,"parade, halloween, greenwich, creation, decided",1,2023-05-14 16:37:44.952999936+00:00,St. Patrick's Day Parade
384,"regulate, openai, pas, urged, legislation",1,2023-05-14 16:37:44.952999936+00:00,OpenAI ChatGPT Copyright Dispute
385,"becker, reserve, oversee, jerome, powell",1,2023-05-14 16:37:44.952999936+00:00,Federal Reserve
387,"rehearsing, forensic, baldwin, modified, specialist",1,2023-05-14 16:37:44.952999936+00:00,Ex-officers plead guilty to charges
388,"adolescent, particular, grief, losing, child",1,2023-05-14 16:37:44.952999936+00:00,Grieving Daughters' Empathy
390,"preyed, tenement, gilded, documenting, original",1,2023-05-14 16:37:44.952999936+00:00,Inauguration Celebration
398,"grandfather, belonging, explosive, device, going",1,2023-05-14 16:37:44.952999936+00:00,Carlee Russell's Death
404,"flamingo, welcome, estate, burned, acre",1,2023-05-14 16:37:44.952999936+00:00,Wildfires Burn Homes in Tenerife and Skamania
405,"titleholder, ngannou, boxing, heavyweight, martial",1,2023-05-14 16:37:44.952999936+00:00,Crawford vs Spence Boxing Matchup
408,"richardson, kristin, jordan, decided, progressive",1,2023-05-14 16:37:44.952999936+00:00,Maryland politics primary race
413,"guralnik, orna, metoo, breakthrough, patient",1,2023-05-14 16:37:44.952999936+00:00,Black Women's Health Breakthrough
418,"pure, investing, racing, horse, fantasy",1,2023-05-14 16:37:44.952999936+00:00,Betting in Sports
-1,"wa, school, summer, surgeon, life",394,2023-05-22 05:37:04.098039296+00:00,Political News
0,"restaurant, cooking, lemon, chicken, tomato",19,2023-05-22 05:37:04.098039296+00:00,Recipe for Chicken Dish
1,"art, artist, consciousness, museum, rubens",11,2023-05-22 05:37:04.098039296+00:00,Art Exhibition in Brooklyn
2,"china, chinese, chip, formalized, sunnyvale",9,2023-05-22 05:37:04.098039296+00:00,China-US Relations
3,"novel, tomorrow, book, irene, translated",18,2023-05-22 05:37:04.098039296+00:00,Novels by Irish Author
4,"haynes, todd, film, underwhelming, dovima",9,2023-05-22 05:37:04.098039296+00:00,Director Wes Ball Narrates Sequence Film
5,"velez, matland, designer, wardrobe, elena",3,2023-05-22 05:37:04.098039296+00:00,Fashion Designer Dies
6,"stuck, feeling, today, puzzle, help",8,2023-05-22 05:37:04.098039296+00:00,Feeling Stuck Today Puzzle Help
7,"puzzlehelp, caseyou, needsome, tankleff, salpeter",1,2023-05-22 05:37:04.098039296+00:00,Puzzle Help Needed
8,"ukraine, fighter, russian, seizing, divert",11,2023-05-22 05:37:04.098039296+00:00,Ukraine-Russia War
9,"officer, gun, police, nowland, maddrey",5,2023-05-22 05:37:04.098039296+00:00,Shootings and Police Encounters
10,"howling, guam, typhoon, expecting, rainfall",2,2023-05-22 05:37:04.098039296+00:00,Heavy rain and flooding in southern California
11,"react, douthat, reader, mercy, misguided",3,2023-05-22 05:37:04.098039296+00:00,Marriage Perspectives
12,"hbo, series, comedian, garg, bert",11,2023-05-22 05:37:04.098039296+00:00,TV Series
13,"mar, subtlety, ispace, floodlight, discard",5,2023-05-22 05:37:04.098039296+00:00,Moon Exploration
14,"energy, calculates, revesz, varo, oil",4,2023-05-22 05:37:04.098039296+00:00,Fossil Fuels and Climate Change
15,"listener, concurrent, retinue, glitchy, presidential",6,2023-05-22 05:37:04.098039296+00:00,Presidential Primary Candidates
16,"nytimes, com, sentence, article, word",5,2023-05-22 05:37:04.098039296+00:00,Nytimes articles from past year
17,"helmand, flagged, internationally, iran, tanker",2,2023-05-22 05:37:04.098039296+00:00,Iranian commander killed in Israeli strike
19,"angrily, disclosed, virtual, react, appearance",1,2023-05-22 05:37:04.098039296+00:00,Donald Trump Fraud Trial
20,"midcentury, hermosa, pignatelli, bloomfield, laguna",4,2023-05-22 05:37:04.098039296+00:00,Three-bedroom home in Los Angeles
21,"consonant, smalley, kalish, hemant, chalfin",5,2023-05-22 05:37:04.098039296+00:00,Solving Weekend Puzzles
22,"dance, masilo, dada, pina, glued",3,2023-05-22 05:37:04.098039296+00:00,Dance in New York
23,"reserve, expenditure, dangerously, slight, gauge",2,2023-05-22 05:37:04.098039296+00:00,Federal Reserve Interest Rate
24,"broadway, convertible, amoral, webber, corvette",3,2023-05-22 05:37:04.098039296+00:00,Broadway Musical Revival
25,"artificial, intelligence, artificialintelligence, mislabeled, botatouille",10,2023-05-22 05:37:04.098039296+00:00,Artificial Intelligence
26,"spoiler, contains, review, warning, columnist",8,2023-05-22 05:37:04.098039296+00:00,Day Puzzle Warning Contains Spoiler
27,"boone, interpreter, radical, solo, listen",2,2023-05-22 05:37:04.098039296+00:00,Billboard Chart Toppers
28,"adam, mayor, eric, housing, characteristic",3,2023-05-22 05:37:04.098039296+00:00,Mayor Eric Adam
29,"obsession, jaeki, social, medium, cho",3,2023-05-22 05:37:04.098039296+00:00,Social Media Platform
30,"landlord, housing, nanchang, vienna, airbnb",6,2023-05-22 05:37:04.098039296+00:00,Housing Rent Regulation
31,"riskless, dade, inauguration, gorman, biden",4,2023-05-22 05:37:04.098039296+00:00,Biden Addresses American Public
32,"asylum, migrant, invigorate, shockingly, venezuelan",5,2023-05-22 05:37:04.098039296+00:00,Asylum Seekers at Southern Border
33,"hyundai, motor, battery, facility, development",1,2023-05-22 05:37:04.098039296+00:00,Electric Vehicles
34,"pastor, truly, divide, loved, neighbor",1,2023-05-22 05:37:04.098039296+00:00,Pope Francis and Catholic Church
36,"warns, stroke, extended, heat, illness",1,2023-05-22 05:37:04.098039296+00:00,Heat Wave Alert
37,"ethicist, owes, estranged, columnist, magazine",2,2023-05-22 05:37:04.098039296+00:00,Climate Change Ethics
39,"heater, vicmar, cullen, traversed, flores",1,2023-05-22 05:37:04.098039296+00:00,Dating App Success Stories
40,"glamorized, cogent, abusing, abruptly, investigates",3,2023-05-22 05:37:04.098039296+00:00,Sexual Assault Allegations
41,"heckling, irredeemable, respectfully, criticize, addressed",2,2023-05-22 05:37:04.098039296+00:00,Supreme Court Cases
42,"yankee, mets, severino, unassisted, scorer",7,2023-05-22 05:37:04.098039296+00:00,Yankees vs Mets Baseball Rivalry
43,"florida, governor, floridagovernor, twitter, announce",12,2023-05-22 05:37:04.098039296+00:00,Florida Governor Presidential Campaign
45,"desantis, ron, rondesantis, govron, gov",17,2023-05-22 05:37:04.098039296+00:00,Ron Desantis Presidential Run
46,"philharmonic, concerto, composer, alessi, trombonist",5,2023-05-22 05:37:04.098039296+00:00,Orchestra Conductor Life
47,"ichiko, aoba, stevie, lipa, dua",2,2023-05-22 05:37:04.098039296+00:00,Heartrack
48,"exclusively, audio, app, exclusivelyfrom, timeaudio",5,2023-05-22 05:37:04.098039296+00:00,Exclusive NY Time Audio App
49,"oppose, narrow, compromise, speaker, bipartisan",1,2023-05-22 05:37:04.098039296+00:00,Speaker Vote Challenge
51,"dubal, piano, renaissance, teach, computer",1,2023-05-22 05:37:04.098039296+00:00,Video Game
56,"accumulated, bankman, fried, cryptocurrency, page",1,2023-05-22 05:37:04.098039296+00:00,FTX Founder Arrested
57,"willies, thirsty, famished, bloodsucker, flesh",1,2023-05-22 05:37:04.098039296+00:00,This Month's Pick Include
59,"revenue, streaming, increase, looking, way",1,2023-05-22 05:37:04.098039296+00:00,Streaming Service Revenue
60,"bony, specie, cephalopod, spiny, permian",3,2023-05-22 05:37:04.098039296+00:00,Reptile Evolution in Australia
62,"swooped, triumvirate, rybakina, iga, swiatek",2,2023-05-22 05:37:04.098039296+00:00,Carlos Alcaraz vs Novak Djokovic at Wimbledon
64,"lee, taylor, add, make, swift",1,2023-05-22 05:37:04.098039296+00:00,Taylor Swift
65,"pitch, european, meeting, ally, asked",1,2023-05-22 05:37:04.098039296+00:00,Nordic Summit on NATO Expansion
66,"wine, asimov, overtake, marina, montauk",2,2023-05-22 05:37:04.098039296+00:00,Wine and Diversity
67,"prohibited, signed, abortion, law, six",1,2023-05-22 05:37:04.098039296+00:00,Abortion Rights Topic
68,"mearns, lingered, sara, curtain, debut",1,2023-05-22 05:37:04.098039296+00:00,New York Times Crossword Debuts
